Date,DRUG,Qty
2018-06-17 00:00:00,Ampicloxa 500mg caps ord(10x10),17
2018-06-18 00:00:00,Ampicloxa 500mg caps ord(10x10),40
2018-06-19 00:00:00,Ampicloxa 500mg caps ord(10x10),72
2018-06-20 00:00:00,Ampicloxa 500mg caps ord(10x10),2
2018-06-21 00:00:00,Ampicloxa 500mg caps ord(10x10),20
2018-06-22 00:00:00,Ampicloxa 500mg caps ord(10x10),70
2018-06-23 00:00:00,Ampicloxa 500mg caps ord(10x10),93
2018-06-24 00:00:00,Ampicloxa 500mg caps ord(10x10),60
2018-06-25 00:00:00,Ampicloxa 500mg caps ord(10x10),40
2018-06-26 00:00:00,Ampicloxa 500mg caps ord(10x10),110
2018-06-27 00:00:00,Ampicloxa 500mg caps ord(10x10),20
2018-06-28 00:00:00,Ampicloxa 500mg caps ord(10x10),35
2018-06-29 00:00:00,Ampicloxa 500mg caps ord(10x10),40
2018-06-30 00:00:00,Ampicloxa 500mg caps ord(10x10),37
2018-07-01 00:00:00,Ampicloxa 500mg caps ord(10x10),26
2018-07-02 00:00:00,Ampicloxa 500mg caps ord(10x10),12
2018-07-03 00:00:00,Ampicloxa 500mg caps ord(10x10),34
2018-07-04 00:00:00,Ampicloxa 500mg caps ord(10x10),66
2018-07-05 00:00:00,Ampicloxa 500mg caps ord(10x10),17
2018-07-06 00:00:00,Ampicloxa 500mg caps ord(10x10),56
2018-07-07 00:00:00,Ampicloxa 500mg caps ord(10x10),25
2018-07-08 00:00:00,Ampicloxa 500mg caps ord(10x10),60
2018-07-09 00:00:00,Ampicloxa 500mg caps ord(10x10),12
2018-07-10 00:00:00,Ampicloxa 500mg caps ord(10x10),77
2018-07-11 00:00:00,Ampicloxa 500mg caps ord(10x10),51
2018-07-12 00:00:00,Ampicloxa 500mg caps ord(10x10),60
2018-07-13 00:00:00,Ampicloxa 500mg caps ord(10x10),25
2018-07-14 00:00:00,Ampicloxa 500mg caps ord(10x10),45
2018-07-15 00:00:00,Ampicloxa 500mg caps ord(10x10),57
2018-07-16 00:00:00,Ampicloxa 500mg caps ord(10x10),25
2018-07-17 00:00:00,Ampicloxa 500mg caps ord(10x10),35
2018-07-18 00:00:00,Ampicloxa 500mg caps ord(10x10),20
2018-07-19 00:00:00,Ampicloxa 500mg caps ord(10x10),25
